,ID,Text,Englisch
0,MA04HE,"Zuerst habe ich mir die Aufgabe mit dem Fallbeispiel durchgelesen und habe mir überlegt, wie ich in der Situation als Lehrkraft handeln würde. Anschließend ging ich die Vorlesungsfolien durch und verschaffte mir einen Überblick zu dem Thema. Darauf schrieb ich mir die wichtigsten Inhalte auf, auf die ich bei der Bearbeitung der Aufgabe eingehen wollte. Ich analysierte nun das Fallbeispiel ohne meine Notizen, um mich zu prüfen, welche Vorlesungsinhalte ich mir gemerkt hatte. Danach legt ich meine Notizen neben mich. Nachdem ich dass Fallbeispiel schon grob ausgearbeitet hatte und nun meine Notizen neben mir lagen, arbeitete ich die Aufgabe erneut durch, nun aber sehr viel gründlicher und fügt noch die fehlenden Inhalte ein. Je länger ich mich mit dem Fallbeispiel beschäftigt hatte, desto mehr verstand ich das Themengebiet. Die konkrete Anwendung meiner Meinung nach für das Verständnis extremst hilfreich, da man ich intensiv mit dem Stoff der Vorlesung und dem Fallbeispiel auseinandersetzten musste. Am Ende laß ich mir meine Ausarbeitung durch und überlegte, ob ich noch weitere inhaltliche Aspekte nennen könnte und fügte gelegentlich etwas in den Text ein. Anschließend laß ich noch einmal Korrektur.","First I read the task with the case study and thought about how I would act as a teacher in the situation. Then I went through the lecture foils and got an overview of the topic. Then I wrote down the most important content that I wanted to deal with when processing the task. I now analyzed the case study without my notes to check what lecture content I had noticed. Then I put my notes next to me. After I had already roughly worked out the case study and now my notes were next to me, I worked through the task again, but now a lot more thoroughly and adds the missing content. The longer I had dealt with the case study, the more I understood the topic. The concrete application in my opinion extremely helpful for understanding, since I had to deal intensively with the material of the lecture and the case study. In the end I let my elaboration through and considered whether I could call other content aspects and occasionally inserted something into the text. Then I have correction again."
1,Cl18He,"Ich habe mir eine Lernpartnerin gesucht.Ich habe die PowerPoint Präsentation aufmerksam durchgeschaut und mir wichtige Punkte notiert. Danach habe ich mich vorbereitet gefühlt . Dann bin habe ich mir das Fallbeispiel durchgelesen und versucht mich hineinzuversetzen.Ich habe mit meiner Lernpartnerin die Situation nachgespielt. Nach einiger Diskussion über Lösungsvorschläge, haben wir uns an die Bewältigung gewagt. Ich bin sehr zufrieden mit meinem Lernergebnis. Ich habe den Vorgang gut durchstrukturiert und habe die Zeit effektiv genutzt, um auf eine gute Lösung des Falles zu kommen","I was looking for a learning partner. I took a close look at the PowerPoint presentation and wrote down important points. After that I felt prepared. Then I read through the case study and tried to put myself in. I re -enacted the situation with my learning partner. After some discussion about suggestions for solutions, we dared to deal with. I am very satisfied with my learning result. I have structured the process well and used the time effectively to get a good solution to the case"
2,Ma02Me,"Das Fallbeispiel empfand ich, als sehr detailarm. Ich hatte viele Informationen nicht wie z.B. wie alt die SuS waren oder was die Lehrperson gemacht hat, dass es so eskaliert ist. Ich denke, dass diese Informationen wichtig sind, um einzuschätzen, wie man sich verhalten sollte. Der Erwartungshorizont war auch hier wieder schlecht ersichtlich. Trotz allem, denke ich, dass die Aufgabe zufriedenstellend gelöst wurde.Ich habe erst die Folien zur Hilfe genommen, nachdem ich die Aufgaben durchgelesen habe. Mir fiel diese Aufgabe leichter, als die, zum Thema Einführung in die pädagogische Diagnostik. Ich weiß jedoch nicht ob ich die letzte Aufgabe zufriedenstellend beantwortet habe, da ich dort weniger Ausführungen gemacht habe und bei den anderen Aufgaben meist mehr geschrieben habe. Dennoch denke ich, dass es zufriedenstellend erledigt wurde.","I found the case study as very detailed. I didn't have a lot of information like how old the pupils were or what the teacher did that it escalated. I think this information is important to assess how to behave. The expectation horizon was again difficult to see here. Despite everything, I think the task was solved satisfactorily. I only took the films to help after reading the tasks. This task was easier for me than the one on the subject of introduction to pedagogical diagnostics. However, I do not know whether I answered the last task satisfactorily because I made fewer explanations there and mostly wrote more in the other tasks. Nevertheless, I think it was done satisfactorily."
3,KA31NÜ,"Die Aufgabenbearbeitung zum Thema „Klassenmanagement und Umgang mit Störungen“ ist mir um einiges leichter gefallen als die Bearbeitung zum Thema „Einführung in die Pädagogische Diagnostik“. Grob gesagt ist dieser Themenblock schon von Beginn an deutlich einfacher zu verstehen und durch die bereits bearbeitete erste Aufgabenstellung gab es hierbei keine Startschwierigkeiten. Das Thema ist gut durchsichtig und das fehlen komplexer Fachbegriffe erleichtert den Umgang mit der Aufgabe erheblich. Jedoch gab es den ein oder anderen kleinen Holperstein, bei dem ich Probleme hatte mein erlerntes Wissen anzuwenden. Ich wusste, worin die Aufgabe lag und hatte das Wissen diese zu beantworten, dennoch dauert es einen Moment oder zwei in Worte zu fassen, was man sich im Kopf zusammenreimt. Alles in allem ist das Fallbeispiel ein realitätsnah gewähltes Beispiel, welches durch die Bearbeitung in Zukunft möglicherweise zu vermeiden ist.","The task processing on the subject of ""class management and dealing with disorders"" was a lot easier for me than processing on the subject of ""Introduction to pedagogical diagnostics"". Roughly speaking, this theme block is much easier to understand from the start and the first task that has already been processed was no starting difficulties. The topic is well transparent and the lack of complex technical terms makes dealing with the task considerably easier. However, there were one or the other little holper stone with which I had problems using my knowledge. I knew what the task was and had the knowledge of answering it, but it takes a moment or two to put into words what you get together in your head. All in all, the case study is a realistic example, which may be avoided by processing in the future."
4,Ba09Ne,"Die Aufgabe ging wesentlich schneller zum bearbeiten, da ich durch das Blockseminar gut vorbereitet war. Zunächst war es ein bisschen schwierig die Kernpunkte der  Aufgabe zu filtern. War es die allgemeine Unruhe der Klasse oder der Wurf mit dem Schwamm, was näher analysiert werden muss. Ich habe mich auch mit einer Referendarin unterhalten und sie gefragt wie sie reagieren würde. Sie hat mir ein paar gängige Reaktionen und Redewendungen gezeigt die man so mich rein zu fühlen in eine Situation die mir noch ungewohnt vorkommt hat mich anfangs überfordert und auch in meinem Weltbild hat die Aufgabe nicht reingepasst, weil ich noch nie erlebt hat das eine Schülerin/ ein Schüler einen Tafelschwamm nach einer Lehrkraft schmeißt. Die Vorlesungsfolien habe ich wieder vor und während des Bearbeitung herangezogen. Mir hat aber die Struktur gefehlt, wie man ein solchen Fall verschriftlichen kann. Ich hätte vielleicht einen schon geschriebenen Text über  einen ähnlichen Fall im Klassenzimmer gebraucht. Mir fiel es sehr schwer mich in die Lage von Frau K hineinzuversetzen, weil ich noch nie richtig vor einer Schulklasse stande. Wahrscheinlich hätte ich geweint, nachdem der Schwamm meine rechte Augenhälfte striff. Ich fühle mich überfordert. ","The task went much faster to edit because I was well prepared by the block seminar. At first it was a bit difficult to filter the key points of the task. Was it the general unrest of the class or the throw with the sponge, which needs to be analyzed in more detail. I also talked to a trainee clerks and asked her how she would react. She showed me a few common reactions and idioms that you feel in a situation that still seems unusual for me initially overwhelmed me and in my worldview the task did not fit in because I have never seen a student/ One student throws a blackboard swam for a teacher. I used the lecture foils again before and during processing. But I lacked the structure of how one can write such a case. I might have needed a text that had already been written about a similar case in the classroom. It was very difficult for me to put me in the position of Ms. K because I never really stood in front of a school class. I would probably have cried after the sponge strapped my right half of the eye. I feel overwhelmed."
5,RU09KI,"Wegen dem höheren Theorieanteil des allgemeinen Themas war ich anfangs nicht so motiviert wie bei der ersten Aufgabe, konnte dies dank des praktischen Beispiels jedoch ablegen. Das Thema an sich fand ich jedoch spannend, da die Bewertung von Arbeiten o.Ä. später eine sehr große Rolle spielt und ich mir durchaus schon häufiger Gedanken über mögliche Probleme bei der objektiven Bewertung gemacht habe. Bei der Bearbeitung der Aufgabe war ich bei diesem Teil der Studienleistung wesentlich motivierter, da ich mit zwei Leuten an einem Tisch saß die parallel ihre Bachelorarbeiten oder andere Studienfächer durchgearbeitet haben. Zur Bearbeitung des zweiten Teils brauchte ich ein paar der Tipps. Nach dem näheren Informieren von kleinen Teilen war die Aufgabe jedoch gut lösbar. Mit der Bearbeitung bin ich im Allgemeinen eigentlich ganz zufrieden weil ich von mir selbst weiß, wie schwer mir etwaig theoretische Themen normalerweise fallen. Die Inhalte haben mir sehr gut geholfen, etwas weniger Bedenken vor zukünftigen Bewertungen einer Klasse zu haben.","Because of the higher proportion of the general subject, I was not as motivated as in the first task, but was able to take off thanks to the practical example. However, I found the topic in itself exciting, since the evaluation of work or the like later plays a very big role and I have often thought about possible problems with the objective assessment. I was much more motivated when processing the task in this part of the study performance, because I sat through their bachelor theses or other subjects in parallel with two people at a table. I needed a few of the tips to edit the second part. After closer information, however, the task was easy to solve. I am generally completely satisfied with the processing because I know how difficult it is usually theoretical topics of myself. The content helped me very well to have a little fewer concerns about future reviews of a class."
6,BI07TR,"Die Bearbeitung der Aufgabe empfand ich als gut bewältigbar und strukturiert. Die Folieninhalte ließen sich praxisnäher auf das Fallbeispiel anwenden als in der vorherigen Studienaufgabe. Die Folieninhalte fand ich persönlich ebenfalls spannender, weil man bei Unterrichtsstörungen mehr auf ein Repertoire an Fachwissen angewiesen ist, um sich Handlungsoptionen anzueignen und diese nach und nach automatisieren zu können. Insofern fand ich auch das Beispiel spannend, da es mehrere Konfliktebenen gab und die Folien trotzdem einen guten ersten Anhaltsunkt zur Orientierung boten.  Ich habe vor, mir die Folieninhalte mit Hinzuzug der Fachliteratur als Zusammenfassung schriftlich in Papierform zu visualisieren und als spätere Unterrichtshilfe ","I found the processing of the task to be manageable and structured. The film content could be applied to the case study than in the previous study task. I personally also found the film content more exciting, because in the case of teaching disorders, you are more dependent on a repertoire of specialist knowledge in order to acquire options for action and to be able to automate them gradually. In this respect, I also found the example exciting, as there were several levels of conflict and the foils still offered a good first attachment to orientation. I plan to visualize the film content in writing as a summary as a summary and as a later teaching aid"
7,El14KC,"Im Orientierungspraktikum und in dem Projekt „Brücken bauen“ konnte ich schon Unterrichtserfahrung sammeln. Da die Kinder wenig Lust hatten in den Sommerferien in die Schule zu gehen, hatten sie dem entsprechend wenig Lust und waren sehr unruhig. Dies habe ich versucht mit einerseits strengen Gegenwirken und Spaß am Arbeiten auszugleichen. In einigen Fällen war jedoch der Punkt erreicht, indem man sich fragt, was man jetzt tun soll/muss. Sehr gute Struktur des Themas. Mir ist alles klar und ich habe den Eindruck alles zu verstehen. Beim Bearbeiten fallen mir Verbesserungsvorschläge zum Unterricht von anderen Lehrkräften und mir selbst ein.Mir sind nun viele Beispiele eingefallen, um den Unterricht interessanter und schnelllebiger zu machen, sodass keine Langweile und somit keine Störungen entstehen.Mir ist klar, wie vorzugehen habe, wenn Störungen und Konflikte auftreten.Es braucht wahrscheinlich noch Übung, um einordnen zu können, welche Konflikte wichtig sind bzw. wie ich sie genau und vor allem schnell einteile um dementsprechend zu Handeln.","In the orientation internship and in the “Building bridges” project, I was able to gain teaching experience. Since the children had little desire to go to school during the summer vacation, they had little desire and were very restless. I tried to compensate for this with strict countermeasures and enjoy working. In some cases, however, the point was reached by wondering what to/have to do now. Very good structure of the topic. Everything is clear to me and I have the impression to understand everything. When editing, I think of suggestions for lessons for teaching from other teachers and myself. Mir have now come up with many examples to make the lessons more interesting and fast -moving so that there is no boredom and therefore no disturbances. And conflicts occur. Probably still needs to be able to classify which conflicts are important or how I quickly and, above all, to act quickly to act accordingly."
8,ch02zü,"In meinen Ausführungen zur ersten Aufgabe hat ein grundlegender Teil gefehlt, und zwar dieser, der sich mit dem Anfang des problematischen Verhaltens beschäftigt. Es ist nämlich so, dass fast von Anfang an, die Unterrichtsstörungen vorliegen und mit der Zeit immer intensiver werden. Das zeigt, dass man zu Anfang überwiegend präventiv, aber auch teilweise interventiv vorgehen könnte, um auf der einen Seite momentanes Fehlverhalten zu verhindern und zukünftiges Verhalten vorzubeugen. Außerdem hätte ich an der Stelle die Strategien des Klassenmanagements nennen können, um dann zu erklären, wie man handeln könnte. Das könnte einen tieferen Blick in die Situation und den Grund des Ausmaßes des Verhaltens ermöglichen. Man könnte dann auch darauf kommen, dass das Störverhalten viel mit Fehlverhalten der Lehrkraft zutun hat. Bei der zweiten Aufgabe hatte ich die Handlungsmatrix nach Becker einbauen können, um dann zu verdeutlichen, dass ein Perspektivwechsel bei Problemverhalten sehr wichtig ist, um die Schüler besser verstehen zu können. Im Allgemeinen bin ich sehr auf der problematischen Situation und den Moment verharrt und bin nicht auf die Unterrichtsstörungen als Prozess mit vielen Faktoren eingegangen. Man muss also verstehen, dass eine Unterrichtsstörung nicht nur ein Problem eines bestimmten Momentes ist, sondern auch vorgebeugt werden kann und mit viel mehr als nur dem Schüler zu tun hat.","In my explanations of the first task, a fundamental part was missing, namely this one who deals with the beginning of the problematic behavior. It is the case that the lessons are almost from the start and are becoming more and more intense over time. This shows that at the beginning you could mostly prevent preventive, but also sometimes intervention in order to prevent current misconduct on the one hand and to prevent future behavior. In addition, I could have called the strategies of class management at this point and then explained how to act. This could enable a deeper look into the situation and the reason for the extent of the behavior. One could then also find out that the interference behavior has a lot to do with misconduct by the teacher. In the second task, I was able to install the action matrix to Becker, in order to make it clear that a change of perspective in the event of problem behavior is very important in order to be able to better understand the students. In general, I stayed a lot on the problematic situation and the moment and did not deal with many factors as a process as a process. So you have to understand that a teaching disorder is not only a problem of a certain moment, but can also be prevented and has to do with much more than just the student."
9,RA19NÜ,"Bevor ich die Aufgabenstellung durch gelesen habe, beschäftige ich mich zuerst mit den Folien zur und Umgang mit Störung, um einen guten Einblick auf das Themabereich habe. So habe ich mir den Tipp von der letzten Bearbeitung zum Thema Diagnostik, mit der Definition und kurze Erklärung zum Thema hergenommen. Daraufhin habe ich mir mit das Themafeld in drei Bereiche zugeteilt einmal in Definition, dann Prävention und dann in Intervention. Damit hatte nun eine Grobe Vorstellung was gefragt werden könnte und in welchen Themenfeld die Aufgabenstellungen gefragt werden könnte. Zum Schluss habe ich mir die Aufgabenstellung angeschaut um zu verstehen was die Frage genau zu bedeuten hatte, somit habe ich mir das grobste aufgeschrieben. Während der Bearbeitung der Aufgaben ist mir dann aufgefallen, das ich mir recht unsicher war ob ich den richtigen Ansatz hatte, so habe ich zwei Prompts zur Hilfe verwendet, jedoch kam ausversehen ein dritter dazu, denn ich eigentlich nicht gebraucht habe. Darauf hab ich versehentlich drauf geklickt als ich schon die Aufgabenstellung bearbeitet hatte. Das erste Prompt habe ich eher verstanden als den zweiten, der war teilweise komplexer. Im allgemeinen war die Aufgabenstellung einfach zu verstehen, so dass ich für die Bearbeitung keine zwei stunden gebraucht habe. Nach der Bearbeitung der Aufgaben konnte man deutlich sagen das sie wenig bis mittelmäßig zeit in Anspruch genommen hat. So war der erste Teil anspruchsvoller als der zweite und hat somit auch mehr Zeit für sich genommen. Jedoch hat die Bearbeitung der Aufgaben zum Thema wirklich Spaß gemacht. So konnte man gut Herausfinden, wie man als Lehrkraft reagieren und Handeln würde.","Before I have read the task, I first deal with the foils for and dealing with disruption to have a good insight into the topic. So I took the tip from the last processing on the subject of diagnostics, with the definition and brief explanation on the subject. I then assigned the Themafeld to three areas once in definition, then prevention and then in intervention. This now had a rough idea of what could be asked and in which subject field the tasks could be asked. Finally, I looked at the task to understand what the question meant exactly, so I wrote down the greatest. During the processing of the tasks, I noticed that I was quite unsure whether I had the right approach, so I used two prompts to help, but a third party came about, because I didn't actually need. I accidentally clicked on it when I had already worked on the task. I understood the first prompt rather than the second, it was sometimes more complex. In general, the task was easy to understand, so it took me less than two hours to edit. After processing the tasks, it could be clearly said that it took little to mediocre time. So the first part was more demanding than the second and therefore took more time for itself. However, the processing of the tasks on the subject was really fun. So you could find out how you would react and act as a teacher."
